0,1
IAM_Words\n06\n06-182\n06-182-06-03.png,I
IAM_Words\c02\c02-035\c02-035-00-10.png,cut-rate
IAM_Words\a02\a02-004\a02-004-07-04.png,Six
IAM_Words\m06\m06-056\m06-056-04-09.png,born
IAM_Words\f01\f01-147\f01-147-01-01.png,nevertheless
IAM_Words\g04\g04-095\g04-095-01-03.png,to
IAM_Words\b03\b03-109\b03-109-04-06.png,to
IAM_Words\h07\h07-007\h07-007-00-03.png,reason
IAM_Words\e02\e02-086\e02-086-08-01.png,increases
IAM_Words\j01\j01-042\j01-042-01-07.png,start
IAM_Words\a01\a01-128u\a01-128u-08-06.png,of
IAM_Words\l07\l07-052\l07-052-02-04.png,that
IAM_Words\m04\m04-072\m04-072-03-06.png,Owen
IAM_Words\c03\c03-007\c03-007-01-01.png,town
IAM_Words\p03\p03-087\p03-087-08-02.png,didn't
IAM_Words\g06\g06-047k\g06-047k-02-05.png,a
IAM_Words\a01\a01-058u\a01-058u-06-07.png,more
IAM_Words\p01\p01-168\p01-168-01-00.png,was
IAM_Words\f07\f07-092a\f07-092a-03-03.png,much
IAM_Words\m04\m04-038\m04-038-03-04.png,landlord
IAM_Words\e01\e01-055\e01-055-07-02.png,designs
IAM_Words\a01\a01-020x\a01-020x-04-07.png,overall
IAM_Words\k07\k07-125\k07-125-02-01.png,motherly
IAM_Words\h06\h06-085\h06-085-00-07.png,on
IAM_Words\a06\a06-157\a06-157-00-07.png,the
IAM_Words\e07\e07-086\e07-086-01-04.png,and
IAM_Words\e04\e04-068\e04-068-04-09.png,in
IAM_Words\g06\g06-018l\g06-018l-02-01.png,","
IAM_Words\a01\a01-014\a01-014-08-04.png,on
IAM_Words\h04\h04-000\h04-000-03-04.png,incomplete
IAM_Words\n02\n02-109\n02-109-02-00.png,flamingoes
IAM_Words\k04\k04-136\k04-136-00-05.png,a
IAM_Words\g06\g06-045h\g06-045h-03-05.png,with
IAM_Words\e07\e07-003\e07-003-02-04.png,viewed
IAM_Words\h07\h07-037a\h07-037a-00-03.png,open
IAM_Words\f04\f04-093\f04-093-08-04.png,close
IAM_Words\g04\g04-088\g04-088-04-04.png,in
IAM_Words\r03\r03-050\r03-050-02-06.png,front
IAM_Words\g07\g07-010b\g07-010b-05-06.png,fully
IAM_Words\a06\a06-141\a06-141-02-07.png,British
IAM_Words\a03\a03-047\a03-047-06-01.png,the
IAM_Words\g06\g06-026c\g06-026c-03-01.png,he
IAM_Words\g06\g06-031o\g06-031o-00-02.png,a
IAM_Words\e04\e04-034\e04-034-01-01.png,plastic
IAM_Words\c03\c03-021f\c03-021f-03-06.png,to
IAM_Words\k02\k02-067\k02-067-00-05.png,tea
IAM_Words\c03\c03-087c\c03-087c-04-04.png,could
IAM_Words\l01\l01-050\l01-050-01-07.png,smash
IAM_Words\l04\l04-124\l04-124-01-06.png,his
IAM_Words\m03\m03-118\m03-118-05-10.png,lake
IAM_Words\a05\a05-104\a05-104-00-03.png,the
IAM_Words\n06\n06-194\n06-194-00-07.png,","
IAM_Words\g06\g06-050r\g06-050r-07-05.png,.
IAM_Words\g04\g04-072\g04-072-06-01.png,met
IAM_Words\g06\g06-042e\g06-042e-03-05.png,point
IAM_Words\p02\p02-105\p02-105-03-01.png,in
IAM_Words\e01\e01-107\e01-107-07-01.png,have
IAM_Words\g05\g05-087\g05-087-00-00.png,Less
IAM_Words\g07\g07-014\g07-014-04-04.png,were
IAM_Words\f01\f01-135\f01-135-00-06.png,things
IAM_Words\f04\f04-020\f04-020-02-11.png,at
IAM_Words\e07\e07-108\e07-108-00-02.png,#
IAM_Words\h07\h07-080\h07-080-09-07.png,from
IAM_Words\g06\g06-011k\g06-011k-01-06.png,he
IAM_Words\f07\f07-032b\f07-032b-02-06.png,a
IAM_Words\e07\e07-000\e07-000-00-06.png,stage
IAM_Words\m04\m04-100\m04-100-03-02.png,Flying
IAM_Words\a04\a04-092\a04-092-05-05.png,not
IAM_Words\b03\b03-109\b03-109-05-00.png,public
IAM_Words\p03\p03-033\p03-033-03-04.png,""""
IAM_Words\m02\m02-080\m02-080-08-07.png,seriously
IAM_Words\e01\e01-032\e01-032-05-00.png,to
IAM_Words\f04\f04-074\f04-074-10-08.png,the
IAM_Words\c03\c03-000f\c03-000f-08-00.png,apparent
IAM_Words\c06\c06-039\c06-039-04-06.png,into
IAM_Words\k01\k01-051\k01-051-02-02.png,","
IAM_Words\a01\a01-030\a01-030-07-04.png,the
IAM_Words\h04\h04-021\h04-021-04-07.png,to
IAM_Words\g06\g06-018b\g06-018b-00-06.png,","
IAM_Words\r06\r06-049\r06-049-09-05.png,leaving
IAM_Words\m06\m06-098\m06-098-00-03.png,memories
IAM_Words\c03\c03-087b\c03-087b-00-00.png,It
IAM_Words\g07\g07-026a\g07-026a-02-03.png,her
IAM_Words\b06\b06-042\b06-042-01-00.png,alliances
IAM_Words\a01\a01-043u\a01-043u-08-04.png,housing
IAM_Words\g04\g04-017\g04-017-00-02.png,while
IAM_Words\c03\c03-094b\c03-094b-08-04.png,and
IAM_Words\a02\a02-037\a02-037-00-01.png,urge
IAM_Words\d06\d06-011\d06-011-07-07.png,in
IAM_Words\a05\a05-121\a05-121-04-00.png,A
IAM_Words\p02\p02-000\p02-000-06-02.png,.
IAM_Words\k04\k04-014\k04-014-03-06.png,a
IAM_Words\c02\c02-049\c02-049-09-04.png,plugs
IAM_Words\m01\m01-032\m01-032-01-01.png,Steve
IAM_Words\e04\e04-095\e04-095-04-06.png,that
IAM_Words\d03\d03-112\d03-112-01-03.png,Kings
IAM_Words\b06\b06-049\b06-049-01-03.png,delighted
IAM_Words\g06\g06-042m\g06-042m-03-00.png,Anglesey
IAM_Words\h04\h04-025\h04-025-03-12.png,price
IAM_Words\e01\e01-086\e01-086-03-07.png,stitch
IAM_Words\n02\n02-151\n02-151-03-00.png,and
IAM_Words\c02\c02-022\c02-022-04-00.png,given
IAM_Words\d05\d05-025\d05-025-07-05.png,some
IAM_Words\k04\k04-099\k04-099-00-00.png,Her
IAM_Words\h07\h07-063b\h07-063b-01-00.png,floors
IAM_Words\c03\c03-021d\c03-021d-00-05.png,is
IAM_Words\h04\h04-055\h04-055-05-07.png,with
IAM_Words\m03\m03-118\m03-118-00-01.png,after
IAM_Words\j04\j04-070\j04-070-08-01.png,tray
IAM_Words\g06\g06-018p\g06-018p-01-03.png,returned
IAM_Words\a04\a04-047\a04-047-06-00.png,supporters
IAM_Words\a01\a01-087u\a01-087u-08-00.png,balance-sheet
IAM_Words\j07\j07-015\j07-015-06-03.png,height
IAM_Words\e07\e07-079\e07-079-04-02.png,which
IAM_Words\a03\a03-034\a03-034-04-02.png,years
IAM_Words\g06\g06-011e\g06-011e-02-01.png,permitted
IAM_Words\f07\f07-006\f07-006-06-01.png,and
IAM_Words\a04\a04-066\a04-066-00-00.png,Mr
IAM_Words\b01\b01-122\b01-122-07-01.png,who
IAM_Words\g04\g04-060\g04-060-06-02.png,of
IAM_Words\e07\e07-066\e07-066-02-01.png,with
IAM_Words\a01\a01-020x\a01-020x-06-05.png,conference
IAM_Words\n03\n03-106\n03-106-04-01.png,","
IAM_Words\a01\a01-063\a01-063-04-02.png,German
IAM_Words\g06\g06-037g\g06-037g-04-08.png,effective
IAM_Words\g04\g04-060\g04-060-01-02.png,district
IAM_Words\c03\c03-084d\c03-084d-00-03.png,production
IAM_Words\f04\f04-004\f04-004-05-04.png,There
IAM_Words\f04\f04-071\f04-071-03-05.png,show
IAM_Words\j01\j01-045\j01-045-06-01.png,for
IAM_Words\d06\d06-086\d06-086-00-01.png,housewife
IAM_Words\j04\j04-053\j04-053-05-00.png,The
IAM_Words\n03\n03-120\n03-120-06-04.png,than
IAM_Words\b04\b04-096\b04-096-02-07.png,are
IAM_Words\d06\d06-091\d06-091-06-05.png,given
IAM_Words\g06\g06-031r\g06-031r-04-02.png,so
IAM_Words\f07\f07-032a\f07-032a-05-10.png,.
IAM_Words\a01\a01-113u\a01-113u-02-02.png,that
IAM_Words\m03\m03-020\m03-020-03-02.png,","
IAM_Words\f07\f07-092a\f07-092a-03-04.png,more
IAM_Words\a02\a02-017\a02-017-07-00.png,negotiations
IAM_Words\h07\h07-033a\h07-033a-04-06.png,proved
IAM_Words\p06\p06-058\p06-058-07-01.png,of
IAM_Words\a05\a05-094\a05-094-00-05.png,is
IAM_Words\c04\c04-066\c04-066-03-05.png,'s
IAM_Words\b04\b04-128\b04-128-05-01.png,on
IAM_Words\n02\n02-033\n02-033-02-09.png,have
IAM_Words\b01\b01-057\b01-057-04-04.png,","
IAM_Words\a04\a04-000\a04-000-05-05.png,this
IAM_Words\r06\r06-044\r06-044-09-00.png,paper
IAM_Words\p02\p02-000\p02-000-01-11.png,!
IAM_Words\h07\h07-044a\h07-044a-01-04.png,neighbourhood
IAM_Words\m02\m02-090\m02-090-06-02.png,they
IAM_Words\c06\c06-039\c06-039-03-00.png,Canadian
IAM_Words\g06\g06-037e\g06-037e-03-05.png,there
IAM_Words\j04\j04-035\j04-035-08-01.png,if
IAM_Words\g03\g03-043\g03-043-06-08.png,pet
IAM_Words\a01\a01-003x\a01-003x-05-02.png,now
IAM_Words\n01\n01-020\n01-020-08-03.png,surface
IAM_Words\a02\a02-032\a02-032-00-03.png,absence
IAM_Words\p06\p06-104\p06-104-01-01.png,recovery
IAM_Words\n04\n04-000\n04-000-03-01.png,is
IAM_Words\l04\l04-159\l04-159-04-06.png,what
IAM_Words\g06\g06-050l\g06-050l-04-06.png,with
IAM_Words\e04\e04-119\e04-119-02-09.png,this
IAM_Words\d01\d01-104\d01-104-01-01.png,circles
IAM_Words\g06\g06-011g\g06-011g-03-08.png,Vesuvius
IAM_Words\f04\f04-035\f04-035-01-04.png,learned
IAM_Words\g06\g06-050i\g06-050i-03-09.png,","
IAM_Words\g01\g01-004\g01-004-03-09.png,.
IAM_Words\r06\r06-066\r06-066-04-02.png,of
IAM_Words\f04\f04-064\f04-064-01-09.png,journal
IAM_Words\c04\c04-017\c04-017-03-00.png,Hollywood
IAM_Words\f04\f04-049\f04-049-01-05.png,four
IAM_Words\c02\c02-078\c02-078-03-07.png,off-the-cuff
IAM_Words\f04\f04-007\f04-007-01-08.png,.
IAM_Words\g06\g06-018l\g06-018l-03-03.png,to
IAM_Words\c06\c06-000\c06-000-01-03.png,and
IAM_Words\m06\m06-042\m06-042-05-03.png,.
IAM_Words\e01\e01-022\e01-022-05-03.png,possessions
IAM_Words\a04\a04-081\a04-081-01-04.png,the
IAM_Words\a06\a06-057\a06-057-05-01.png,is
IAM_Words\h02\h02-022\h02-022-00-10.png,taken
IAM_Words\a05\a05-121\a05-121-08-03.png,was
IAM_Words\k07\k07-176\k07-176-04-04.png,.
IAM_Words\h02\h02-043\h02-043-07-00.png,which
IAM_Words\c04\c04-075\c04-075-01-03.png,were
IAM_Words\n04\n04-068\n04-068-06-08.png,introduced
IAM_Words\g06\g06-037p\g06-037p-06-06.png,had
IAM_Words\g06\g06-018i\g06-018i-00-01.png,the
IAM_Words\j04\j04-103\j04-103-01-03.png,did
IAM_Words\r06\r06-022\r06-022-04-08.png,trees
IAM_Words\e07\e07-098\e07-098-01-02.png,normal
IAM_Words\c03\c03-096b\c03-096b-05-01.png,he
IAM_Words\n03\n03-079\n03-079-00-04.png,on
IAM_Words\h06\h06-092\h06-092-01-01.png,of
IAM_Words\e04\e04-022\e04-022-02-05.png,B
IAM_Words\l07\l07-131\l07-131-03-06.png,them
IAM_Words\c03\c03-000d\c03-000d-05-02.png,script
IAM_Words\r06\r06-044\r06-044-07-04.png,V
IAM_Words\b01\b01-014\b01-014-00-09.png,South
IAM_Words\h07\h07-057a\h07-057a-06-04.png,drawing
IAM_Words\c03\c03-021e\c03-021e-01-04.png,.
IAM_Words\h07\h07-063b\h07-063b-09-04.png,the
IAM_Words\h01\h01-024\h01-024-08-04.png,important
IAM_Words\c03\c03-007e\c03-007e-06-02.png,the
IAM_Words\g06\g06-105\g06-105-00-04.png,necessary
IAM_Words\g06\g06-031k\g06-031k-04-00.png,People
IAM_Words\g06\g06-031j\g06-031j-03-07.png,fear
IAM_Words\f07\f07-016\f07-016-00-00.png,There
IAM_Words\f07\f07-032b\f07-032b-01-02.png,","
IAM_Words\l07\l07-187\l07-187-05-05.png,;
IAM_Words\f01\f01-075\f01-075-05-05.png,compounds
IAM_Words\n01\n01-045\n01-045-01-05.png,of
IAM_Words\c03\c03-081f\c03-081f-03-03.png,about
IAM_Words\f07\f07-019b\f07-019b-06-01.png,gorging
IAM_Words\a01\a01-058u\a01-058u-04-06.png,not
IAM_Words\g01\g01-012\g01-012-02-03.png,.
IAM_Words\g06\g06-026m\g06-026m-02-02.png,Chambre
IAM_Words\a04\a04-092\a04-092-09-04.png,generated
IAM_Words\r02\r02-065\r02-065-05-02.png,Compa.
IAM_Words\m02\m02-072\m02-072-01-09.png,middle-brow
IAM_Words\h07\h07-071a\h07-071a-05-01.png,new
IAM_Words\b06\b06-042\b06-042-09-02.png,Party
IAM_Words\r06\r06-076\r06-076-02-00.png,could
IAM_Words\g06\g06-045h\g06-045h-05-02.png,being
IAM_Words\a02\a02-116\a02-116-03-05.png,.
IAM_Words\c03\c03-096f\c03-096f-02-03.png,feels
IAM_Words\n04\n04-107\n04-107-01-01.png,too
IAM_Words\b04\b04-169\b04-169-06-01.png,bank
IAM_Words\r02\r02-070\r02-070-03-09.png,METROPOLITAN
IAM_Words\c06\c06-020\c06-020-03-02.png,","
IAM_Words\j06\j06-034\j06-034-09-00.png,erences
IAM_Words\b02\b02-013\b02-013-06-03.png,advisers
IAM_Words\r06\r06-018\r06-018-06-02.png,turtle-doves
IAM_Words\e04\e04-034\e04-034-05-04.png,","
IAM_Words\l04\l04-062\l04-062-06-05.png,a
IAM_Words\e02\e02-117\e02-117-00-02.png,with
IAM_Words\g06\g06-047h\g06-047h-06-04.png,May
IAM_Words\d06\d06-111\d06-111-02-02.png,quietly
IAM_Words\e06\e06-046\e06-046-03-10.png,a
IAM_Words\g06\g06-011j\g06-011j-02-01.png,as
IAM_Words\b06\b06-087\b06-087-01-03.png,time
IAM_Words\b01\b01-033\b01-033-01-07.png,welcome
IAM_Words\h07\h07-025a\h07-025a-06-06.png,being
IAM_Words\n04\n04-209\n04-209-02-03.png,but
IAM_Words\e07\e07-105\e07-105-04-05.png,paper
IAM_Words\g06\g06-018f\g06-018f-02-12.png,Arthur
IAM_Words\p03\p03-029\p03-029-03-03.png,the
IAM_Words\d01\d01-085\d01-085-03-07.png,laid
IAM_Words\a06\a06-039\a06-039-00-06.png,the
IAM_Words\n04\n04-044\n04-044-01-03.png,of
IAM_Words\c04\c04-116\c04-116-01-12.png,of
IAM_Words\a04\a04-047\a04-047-07-06.png,their
IAM_Words\c03\c03-081d\c03-081d-02-02.png,;
IAM_Words\b04\b04-054\b04-054-03-04.png,the
IAM_Words\m01\m01-160\m01-160-00-00.png,After
IAM_Words\a01\a01-117u\a01-117u-02-09.png,percentage
IAM_Words\n04\n04-114\n04-114-05-07.png,You
IAM_Words\g06\g06-018f\g06-018f-05-11.png,...
IAM_Words\e07\e07-101\e07-101-01-02.png,the
IAM_Words\d01\d01-052\d01-052-06-03.png,is
IAM_Words\n04\n04-213\n04-213-05-01.png,experience
IAM_Words\r02\r02-109\r02-109-02-06.png,to
IAM_Words\j04\j04-061\j04-061-03-04.png,in
IAM_Words\b06\b06-004\b06-004-06-05.png,to
IAM_Words\d06\d06-030\d06-030-02-00.png,partly
IAM_Words\p02\p02-131\p02-131-02-09.png,weren't
IAM_Words\j04\j04-076\j04-076-04-06.png,from
IAM_Words\m06\m06-098\m06-098-05-03.png,that
IAM_Words\d06\d06-063\d06-063-08-06.png,could
IAM_Words\b04\b04-020\b04-020-01-01.png,higher
IAM_Words\h04\h04-061\h04-061-01-03.png,to
IAM_Words\a06\a06-147\a06-147-04-13.png,a
IAM_Words\k02\k02-023\k02-023-04-05.png,since
IAM_Words\j01\j01-063\j01-063-06-02.png,joining
IAM_Words\e01\e01-014\e01-014-05-03.png,out
IAM_Words\n04\n04-031\n04-031-01-07.png,book
IAM_Words\c04\c04-004\c04-004-06-04.png,before
IAM_Words\m01\m01-032\m01-032-03-00.png,tering
IAM_Words\j04\j04-012\j04-012-05-01.png,the
IAM_Words\n03\n03-103\n03-103-09-05.png,waves
IAM_Words\g06\g06-037r\g06-037r-01-11.png,here
IAM_Words\r06\r06-011\r06-011-00-02.png,in
IAM_Words\h07\h07-057a\h07-057a-02-00.png,with
IAM_Words\g06\g06-042i\g06-042i-04-05.png,to
IAM_Words\k04\k04-050\k04-050-02-12.png,be
IAM_Words\n04\n04-156\n04-156-06-05.png,were
IAM_Words\l04\l04-026\l04-026-04-13.png,","
IAM_Words\p03\p03-158\p03-158-06-13.png,he
IAM_Words\g06\g06-037d\g06-037d-00-07.png,may
IAM_Words\g06\g06-045n\g06-045n-09-01.png,Samuel
IAM_Words\p02\p02-069\p02-069-08-03.png,and
IAM_Words\g01\g01-027\g01-027-06-05.png,supplement
IAM_Words\a01\a01-026u\a01-026u-03-02.png,future
IAM_Words\g06\g06-031r\g06-031r-06-04.png,of
IAM_Words\h07\h07-051b\h07-051b-09-02.png,town
IAM_Words\g07\g07-003b\g07-003b-08-02.png,attempts
IAM_Words\c02\c02-007\c02-007-02-03.png,exhibition
IAM_Words\r03\r03-002\r03-002-08-03.png,illusion
IAM_Words\c06\c06-039\c06-039-07-00.png,Canadians
IAM_Words\e07\e07-083\e07-083-04-01.png,few
IAM_Words\l01\l01-007\l01-007-01-03.png,their
IAM_Words\h07\h07-030\h07-030-02-05.png,the
IAM_Words\g06\g06-026n\g06-026n-04-00.png,While
IAM_Words\d04\d04-086\d04-086-04-02.png,a
IAM_Words\g06\g06-011e\g06-011e-00-05.png,month
IAM_Words\a04\a04-099\a04-099-10-04.png,fulfil
IAM_Words\g07\g07-026b\g07-026b-06-05.png,her
IAM_Words\e06\e06-015\e06-015-07-01.png,to
IAM_Words\h04\h04-025\h04-025-04-06.png,households
IAM_Words\l07\l07-103\l07-103-06-01.png,'m
IAM_Words\g07\g07-022b\g07-022b-00-05.png,impressed
IAM_Words\a05\a05-009\a05-009-05-00.png,are
IAM_Words\h02\h02-037\h02-037-03-00.png,at
IAM_Words\b06\b06-068\b06-068-08-04.png,Britain
IAM_Words\g06\g06-047g\g06-047g-01-02.png,to
IAM_Words\d06\d06-091\d06-091-09-02.png,adventure
IAM_Words\b05\b05-083\b05-083-03-06.png,good
IAM_Words\a02\a02-072\a02-072-01-11.png,fit
IAM_Words\a03\a03-043\a03-043-04-04.png,)
IAM_Words\b04\b04-147\b04-147-00-00.png,AN
IAM_Words\c03\c03-096f\c03-096f-08-02.png,tradition
IAM_Words\c04\c04-080\c04-080-03-04.png,Philips
IAM_Words\n04\n04-156\n04-156-01-04.png,in
IAM_Words\l07\l07-176\l07-176-01-02.png,""""
IAM_Words\l07\l07-172\l07-172-07-03.png,like
IAM_Words\g06\g06-045p\g06-045p-04-04.png,under
IAM_Words\p03\p03-151\p03-151-03-08.png,...
IAM_Words\r02\r02-013\r02-013-02-01.png,go
IAM_Words\j04\j04-019\j04-019-07-05.png,using
IAM_Words\b04\b04-147\b04-147-07-05.png,!
IAM_Words\r03\r03-035\r03-035-00-07.png,two
IAM_Words\g01\g01-008\g01-008-01-08.png,avoided
IAM_Words\g03\g03-032\g03-032-06-03.png,George
IAM_Words\f07\f07-073\f07-073-00-03.png,embraces
IAM_Words\d06\d06-086\d06-086-01-05.png,","
IAM_Words\e06\e06-003\e06-003-01-00.png,movements
IAM_Words\a01\a01-049\a01-049-04-00.png,The
IAM_Words\a01\a01-030\a01-030-00-08.png,.
IAM_Words\k04\k04-014\k04-014-03-03.png,.
IAM_Words\a01\a01-053u\a01-053u-05-06.png,believed
IAM_Words\e02\e02-014\e02-014-01-08.png,in
IAM_Words\g06\g06-050h\g06-050h-03-08.png,Anglesey
IAM_Words\e07\e07-003\e07-003-06-02.png,are
IAM_Words\c03\c03-007f\c03-007f-05-03.png,canals
IAM_Words\p02\p02-144\p02-144-08-06.png,heartbreak
IAM_Words\r03\r03-084\r03-084-08-00.png,or
IAM_Words\h02\h02-049\h02-049-01-01.png,","
IAM_Words\g04\g04-036\g04-036-00-01.png,1913
IAM_Words\m03\m03-110\m03-110-02-03.png,was
IAM_Words\a01\a01-003x\a01-003x-07-03.png,not
IAM_Words\l04\l04-163\l04-163-01-05.png,book
IAM_Words\f07\f07-069\f07-069-04-06.png,to
IAM_Words\m06\m06-031\m06-031-04-00.png,the
IAM_Words\g07\g07-044\g07-044-01-09.png,world
IAM_Words\d04\d04-021\d04-021-05-05.png,to
IAM_Words\m04\m04-024\m04-024-01-05.png,","
IAM_Words\g06\g06-050c\g06-050c-04-01.png,he
IAM_Words\c04\c04-004\c04-004-01-08.png,ever
IAM_Words\g07\g07-018a\g07-018a-08-05.png,even
IAM_Words\m01\m01-149\m01-149-06-10.png,possessed
IAM_Words\k04\k04-093\k04-093-00-02.png,realized
IAM_Words\g06\g06-011f\g06-011f-02-15.png,arrived
IAM_Words\n06\n06-201\n06-201-07-04.png,.
IAM_Words\a01\a01-113\a01-113-04-11.png,a
IAM_Words\c04\c04-139\c04-139-00-08.png,design
IAM_Words\d04\d04-096\d04-096-06-05.png,them
IAM_Words\b04\b04-187\b04-187-00-06.png,near
IAM_Words\f03\f03-174\f03-174-05-03.png,had
IAM_Words\j06\j06-026\j06-026-03-04.png,sunlight
IAM_Words\n04\n04-171\n04-171-06-07.png,!
IAM_Words\e01\e01-113\e01-113-07-02.png,tip
IAM_Words\d03\d03-117\d03-117-00-04.png,gardens
IAM_Words\f07\f07-000b\f07-000b-04-05.png,would
IAM_Words\k02\k02-053\k02-053-05-03.png,around
IAM_Words\e01\e01-081\e01-081-03-00.png,secure
IAM_Words\n02\n02-004\n02-004-04-06.png,the
IAM_Words\m03\m03-006\m03-006-09-04.png,almost
IAM_Words\j06\j06-034\j06-034-04-04.png,suggested
IAM_Words\f04\f04-007\f04-007-00-06.png,with
IAM_Words\g06\g06-105\g06-105-05-08.png,was
IAM_Words\a05\a05-116\a05-116-04-04.png,the
IAM_Words\g01\g01-004\g01-004-04-03.png,French
IAM_Words\g06\g06-050a\g06-050a-06-06.png,","
IAM_Words\a03\a03-047\a03-047-08-05.png,the
IAM_Words\g06\g06-047a\g06-047a-06-00.png,Dr
IAM_Words\l01\l01-119\l01-119-07-06.png,""""
IAM_Words\f07\f07-039a\f07-039a-02-01.png,the
IAM_Words\g07\g07-022a\g07-022a-06-04.png,.
IAM_Words\f04\f04-053\f04-053-01-08.png,to
IAM_Words\a02\a02-106\a02-106-00-07.png,of
IAM_Words\f04\f04-049\f04-049-06-00.png,his
IAM_Words\l04\l04-071\l04-071-01-08.png,his
IAM_Words\h07\h07-066a\h07-066a-05-07.png,is
IAM_Words\l04\l04-005\l04-005-01-01.png,front
IAM_Words\a06\a06-070\a06-070-01-06.png,:
IAM_Words\g06\g06-045o\g06-045o-05-07.png,that
IAM_Words\f04\f04-079\f04-079-08-06.png,open
IAM_Words\a03\a03-054\a03-054-04-03.png,has
IAM_Words\g07\g07-042\g07-042-03-05.png,","
IAM_Words\b04\b04-147\b04-147-03-04.png,smooth
IAM_Words\m06\m06-048\m06-048-04-09.png,You
IAM_Words\n06\n06-111\n06-111-01-09.png,fixed
IAM_Words\a01\a01-038\a01-038-09-06.png,the
IAM_Words\h07\h07-080\h07-080-07-04.png,vacancies
IAM_Words\a03\a03-017\a03-017-02-02.png,Penh
IAM_Words\g04\g04-068\g04-068-00-00.png,Meanwhile
IAM_Words\a02\a02-102\a02-102-03-03.png,airliner's
IAM_Words\c06\c06-020\c06-020-05-03.png,exceedingly
IAM_Words\f07\f07-084a\f07-084a-01-04.png,is
IAM_Words\k07\k07-063a\k07-063a-03-03.png,being
IAM_Words\b06\b06-097\b06-097-02-04.png,from
IAM_Words\e01\e01-102\e01-102-03-00.png,tablecloths
IAM_Words\l04\l04-087\l04-087-02-00.png,panel
IAM_Words\c03\c03-003f\c03-003f-02-01.png,again
IAM_Words\f04\f04-100\f04-100-01-06.png,an
IAM_Words\j04\j04-061\j04-061-02-10.png,the
IAM_Words\l01\l01-050\l01-050-02-09.png,His
IAM_Words\c04\c04-156\c04-156-01-01.png,.
